,time,open,high,low,close,volume
0,2025-04-11,66.14,66.54,64.58,66.36,1450181.0
1,2025-04-10,72.46,72.46,64.88,65.1,3049803.0
2,2025-04-09,63.28,66.3,62.96,63.52,2543401.0
3,2025-04-08,68.1,68.38,65.56,65.68,2500292.0
4,2025-04-07,64.8,71.06,63.86,67.08,4505056.0
5,2025-04-04,70.76,71.4,66.94,68.0,3148443.0
6,2025-04-03,71.0,74.92,70.52,71.12,1980171.0
7,2025-04-02,73.36,74.06,72.7,73.74,1043860.0
8,2025-04-01,74.4,75.48,73.7,74.1,1678949.0
9,2025-03-31,75.26,75.58,72.72,73.68,1810202.0
10,2025-03-28,76.6,77.76,75.38,75.94,1639787.0
11,2025-03-27,75.8,78.04,75.42,77.26,1956773.0
12,2025-03-26,81.62,81.72,79.26,79.28,847450.0
13,2025-03-25,80.06,81.92,80.02,80.92,952028.0
14,2025-03-24,79.16,79.16,79.16,79.16,1216454.0
15,2025-03-21,79.5,80.1,77.94,79.16,3215296.0
16,2025-03-20,82.36,82.72,79.4,79.86,1498619.0
17,2025-03-19,83.8,84.64,81.74,82.78,1408496.0
18,2025-03-18,84.0,86.38,83.8,84.66,1494870.0
19,2025-03-17,82.1,82.1,82.1,82.1,1200492.0
20,2025-03-14,80.0,83.64,78.66,82.1,2156032.0
21,2025-03-13,83.2,84.18,81.76,82.32,1669157.0
22,2025-03-12,85.0,85.3,83.0,84.28,1094937.0
23,2025-03-11,84.64,88.26,83.76,84.32,1943190.0
24,2025-03-10,85.28,86.48,83.32,85.66,1409706.0
25,2025-03-07,85.98,87.0,82.88,83.62,1362425.0
26,2025-03-06,84.8,87.52,84.48,86.98,2081468.0
27,2025-03-05,82.5,85.18,82.42,83.36,1995258.0
28,2025-03-04,82.46,82.98,79.06,79.92,2278351.0
29,2025-03-03,83.38,87.4,83.16,84.92,1502675.0
30,2025-02-28,82.48,84.32,81.94,83.9,1884718.0
31,2025-02-27,84.78,85.46,82.9,83.62,1511765.0
32,2025-02-26,85.86,86.94,85.38,86.92,1814706.0
33,2025-02-25,83.0,85.7,82.76,85.68,1846772.0
34,2025-02-24,84.68,84.68,82.68,83.38,958747.0
35,2025-02-21,82.66,83.2,81.98,82.58,1135327.0
36,2025-02-20,81.0,83.88,80.9,82.5,1432244.0
37,2025-02-19,84.12,84.22,81.92,82.4,1592762.0
38,2025-02-18,84.2,84.48,82.68,84.32,741427.0
39,2025-02-17,82.98,84.16,82.32,84.08,1083549.0
40,2025-02-14,79.9,83.36,79.9,82.96,1898926.0
41,2025-02-13,77.6,81.46,77.56,80.86,2815709.0
42,2025-02-12,76.24,77.16,75.54,76.24,910536.0
43,2025-02-11,76.8,77.04,75.48,76.22,911775.0
44,2025-02-10,76.38,76.38,76.38,76.38,704169.0
45,2025-02-07,77.84,78.58,76.12,76.38,1027660.0
46,2025-02-06,76.28,78.2,75.78,77.62,1209444.0
47,2025-02-05,76.5,77.0,75.68,76.32,859642.0
48,2025-02-04,76.68,77.5,75.24,77.16,801416.0
49,2025-02-03,74.64,76.92,73.48,76.72,1845309.0
50,2025-01-31,79.86,80.14,78.6,78.6,1266632.0
51,2025-01-30,79.5,80.12,78.82,79.88,784107.0
52,2025-01-29,78.88,79.76,78.28,79.3,909020.0
53,2025-01-28,81.2,81.78,78.64,78.8,1865668.0
54,2025-01-27,79.22,81.08,78.52,81.04,1360472.0
55,2025-01-24,78.06,80.7,77.92,78.84,1291775.0
56,2025-01-23,78.7,78.76,77.14,77.38,827459.0
57,2025-01-22,78.5,79.34,77.88,78.22,808151.0
58,2025-01-21,78.18,78.8,77.56,77.84,1156006.0
59,2025-01-20,77.24,80.28,76.46,79.26,1485416.0
60,2025-01-17,76.7,77.86,76.42,77.1,1151306.0
61,2025-01-16,77.96,78.02,76.24,76.24,1017353.0
62,2025-01-15,76.5,77.4,75.9,77.04,973381.0
63,2025-01-14,77.3,77.84,75.98,75.98,976260.0
64,2025-01-13,76.32,77.16,75.28,76.22,721314.0
65,2025-01-10,75.32,77.84,74.52,76.38,1307681.0
66,2025-01-09,76.12,76.52,75.14,75.52,1082092.0
67,2025-01-08,78.48,78.76,76.46,76.76,1114806.0
68,2025-01-07,79.6,80.28,78.74,78.86,1027536.0
69,2025-01-06,77.64,81.7,77.62,79.8,1788171.0
70,2025-01-03,77.72,78.02,76.1,76.42,931945.0
71,2025-01-02,78.54,78.96,76.24,78.1,1144038.0
72,2024-12-30,77.92,79.04,77.84,78.98,456155.0
73,2024-12-27,76.88,78.46,76.74,78.34,958948.0
74,2024-12-23,77.62,77.68,76.26,76.94,642208.0
75,2024-12-20,76.7,77.86,76.12,77.58,2000177.0
76,2024-12-19,77.08,78.38,76.9,77.28,1297262.0
77,2024-12-18,79.0,79.2,78.0,78.0,1023527.0
78,2024-12-17,77.0,78.76,76.92,78.36,1018266.0
79,2024-12-16,79.56,80.08,77.14,77.62,1521818.0
80,2024-12-13,79.88,81.84,79.88,80.16,1805470.0
81,2024-12-12,78.4,80.22,78.28,79.98,1610079.0
82,2024-12-11,79.9,80.04,78.24,78.48,1067998.0
83,2024-12-10,78.64,80.24,78.64,79.68,1216785.0
84,2024-12-09,78.1,79.96,78.06,79.2,1936993.0
85,2024-12-06,76.0,77.32,75.46,77.24,1776441.0
86,2024-12-05,73.36,75.3,73.36,75.2,1497475.0
87,2024-12-04,72.04,73.6,71.94,73.44,1337572.0
88,2024-12-03,72.74,73.66,71.8,71.8,1429884.0
89,2024-12-02,69.42,72.66,69.04,71.88,1868344.0
90,2024-11-29,68.48,70.16,68.42,70.02,1333656.0
91,2024-11-28,69.12,69.88,68.72,68.92,655633.0
92,2024-11-27,68.0,68.4,67.48,68.4,971588.0
93,2024-11-26,68.22,68.96,67.52,68.48,1033213.0
94,2024-11-25,68.6,69.54,68.14,69.3,3423771.0
95,2024-11-22,67.92,68.28,66.52,67.8,1008051.0
96,2024-11-21,68.38,68.4,66.68,67.94,1051453.0
97,2024-11-20,69.2,69.46,68.32,68.5,972719.0
98,2024-11-19,68.76,69.56,68.08,69.06,1463579.0
99,2024-11-18,68.1,69.56,68.1,68.72,1056530.0
