,time,open,high,low,close,volume
0,2025-04-11,37.39,38.1228,37.28,38.07,148330.0
1,2025-04-10,37.235,37.755,36.54,37.57,213796.0
2,2025-04-09,35.2,38.2099,34.96,37.94,320175.0
3,2025-04-08,36.13,36.57,34.44,34.84,245181.0
4,2025-04-07,34.93,36.7833,34.44,35.21,591082.0
5,2025-04-04,37.01,37.38,36.0,36.06,505044.0
6,2025-04-03,39.26,39.44,38.5401,38.62,309016.0
7,2025-04-02,38.92,39.51,38.9066,39.38,118164.0
8,2025-04-01,39.41,39.58,39.0732,39.41,275400.0
9,2025-03-31,38.74,39.18,38.5301,39.1,256982.0
10,2025-03-28,39.53,39.63,39.221,39.42,139829.0
11,2025-03-27,39.39,39.7691,39.35,39.65,212155.0
12,2025-03-26,40.07,40.26,39.4787,39.63,304497.0
13,2025-03-25,40.51,40.6,40.33,40.49,355456.0
14,2025-03-24,40.17,40.3104,39.88,40.1,258672.0
15,2025-03-21,39.96,40.2,39.8695,40.17,268677.0
16,2025-03-20,40.22,40.55,40.01,40.45,243658.0
17,2025-03-19,40.99,41.42,40.885,41.24,488805.0
18,2025-03-18,41.41,41.55,41.17,41.49,707485.0
19,2025-03-17,40.69,41.245,40.69,41.19,486284.0
20,2025-03-14,40.47,40.77,40.34,40.74,391135.0
21,2025-03-13,39.74,39.835,39.4451,39.61,174134.0
22,2025-03-12,40.25,40.25,39.8,40.06,330905.0
23,2025-03-11,40.07,40.39,39.321,39.75,201823.0
24,2025-03-10,40.1,40.154,39.33,39.7,380137.0
25,2025-03-07,40.43,40.9183,40.32,40.89,373368.0
26,2025-03-06,40.78,41.32,40.57,40.64,783297.0
27,2025-03-05,40.1,40.7699,40.064,40.72,573562.0
28,2025-03-04,38.7,39.4,38.071,39.08,117152.0
29,2025-03-03,39.52,39.66,38.95,39.17,134088.0
30,2025-02-28,37.95,38.08,37.465,37.98,60422.0
31,2025-02-27,38.41,38.41,37.74,37.78,61476.0
32,2025-02-26,38.64,38.9304,38.4001,38.46,56470.0
33,2025-02-25,38.41,38.55,38.09,38.47,110594.0
34,2025-02-24,38.17,38.1799,37.79,37.88,84551.0
35,2025-02-21,38.04,38.04,37.6128,37.64,30999.0
36,2025-02-20,38.18,38.269,37.85,38.05,48714.0
37,2025-02-19,38.22,38.22,37.82,37.9639,67707.0
38,2025-02-18,38.78,38.9199,38.67,38.8,98110.0
39,2025-02-14,38.45,38.59,38.28,38.35,48618.0
40,2025-02-13,38.01,38.37,37.81,38.215,89639.0
41,2025-02-12,37.11,37.71,37.1,37.62,138911.0
42,2025-02-11,36.91,37.23,36.86,37.15,13865.0
43,2025-02-10,36.65,36.8199,36.6,36.77,26263.0
44,2025-02-07,36.93,36.93,36.38,36.46,11011.0
45,2025-02-06,36.73,36.969,36.64,36.93,89503.0
46,2025-02-05,36.3,36.51,36.3,36.51,4963.0
47,2025-02-04,36.01,36.1759,35.96,36.07,83533.0
48,2025-02-03,35.48,35.89,35.36,35.7128,15848.0
49,2025-01-31,36.64,36.72,36.25,36.3,19398.0
50,2025-01-30,36.72,36.84,36.58,36.58,31403.0
51,2025-01-29,36.51,36.6553,36.4,36.47,16491.0
52,2025-01-28,36.38,36.47,36.21,36.31,10032.0
53,2025-01-27,36.41,36.41,36.23,36.4088,46580.0
54,2025-01-24,36.44,36.57,36.4,36.41,9979.0
55,2025-01-23,36.06,36.41,36.0,36.39,9259.0
56,2025-01-22,36.07,36.07,35.85,35.9299,23776.0
57,2025-01-21,35.55,35.82,35.395,35.82,26887.0
58,2025-01-17,34.74,35.02,34.74,34.79,28269.0
59,2025-01-16,34.47,34.63,34.3672,34.6,11800.0
60,2025-01-15,34.53,34.53,34.4,34.53,5595.0
61,2025-01-14,33.82,34.03,33.7032,33.97,82216.0
62,2025-01-13,33.01,33.47,33.01,33.47,5387.0
63,2025-01-10,33.85,33.86,33.478,33.57,40786.0
64,2025-01-08,33.805,34.05,33.805,34.05,7232.0
65,2025-01-07,34.26,34.26,33.9711,34.06,10079.0
66,2025-01-06,33.67,34.1,33.67,33.91,43999.0
67,2025-01-03,33.2531,33.2531,33.0968,33.22,4524.0
68,2025-01-02,33.29,33.29,33.019,33.13,18437.0
69,2024-12-31,33.43,33.43,33.2701,33.319,4724.0
70,2024-12-30,33.46,33.6,33.29,33.45,12095.0
71,2024-12-27,33.76,33.83,33.62,33.69,9411.0
72,2024-12-26,33.88,34.16,33.83,34.12,19562.0
73,2024-12-24,33.79,33.9,33.72,33.9,3206.0
74,2024-12-23,33.56,33.6053,33.44,33.55,6033.0
75,2024-12-20,33.32,33.8661,33.32,33.68,5107.0
76,2024-12-19,33.86,33.86,33.55,33.63,13563.0
77,2024-12-18,34.5694,34.5694,33.62,33.687,3985.0
78,2024-12-17,34.65,34.74,34.37,34.466,30093.0
79,2024-12-16,34.67,34.7686,34.58,34.7006,4585.0
80,2024-12-13,34.795,34.88,34.72,34.83,37051.0
81,2024-12-12,34.73,34.84,34.7025,34.7025,1721.0
82,2024-12-11,34.76,34.87,34.69,34.87,7706.0
83,2024-12-10,34.89,34.9,34.715,34.715,2772.0
84,2024-12-09,35.05,35.16,34.88,34.88,6384.0
85,2024-12-06,34.985,35.01,34.44,34.9879,19062.0
86,2024-12-05,34.91,35.09,34.91,35.04,20326.0
87,2024-12-04,34.47,34.73,34.3472,34.65,37229.0
88,2024-12-03,34.04,34.33,34.0,34.14,19811.0
89,2024-12-02,33.89,34.09,33.705,34.09,101982.0
90,2024-11-29,33.589,33.85,33.49,33.85,2165.0
91,2024-11-27,32.94,33.1826,32.9129,33.1,5156.0
92,2024-11-26,32.855,32.8625,32.8,32.8,1004.0
93,2024-11-25,33.12,33.13,32.96,33.07,58102.0
94,2024-11-22,32.53,32.819,32.53,32.68,5883.0
95,2024-11-21,32.61,32.651,32.495,32.6068,2578.0
96,2024-11-20,32.66,32.7,32.4,32.7,3877.0
97,2024-11-19,32.52,32.79,32.47,32.7,9156.0
98,2024-11-18,32.81,33.0,32.81,32.98,4780.0
99,2024-11-15,32.92,32.97,32.775,32.9,2486.0
