,time,open,high,low,close,volume
0,2025-04-11,43.22,43.79,42.21,43.6,851905.0
1,2025-04-10,46.6,46.8,42.33,42.81,2031776.0
2,2025-04-09,41.19,43.62,40.9,42.14,1966627.0
3,2025-04-08,43.73,43.91,42.36,42.69,1383412.0
4,2025-04-07,41.4,45.9,40.43,42.82,2820794.0
5,2025-04-04,45.17,45.63,42.88,43.21,1905408.0
6,2025-04-03,44.89,47.0,44.89,44.97,1457035.0
7,2025-04-02,45.04,46.37,44.5,46.37,1503764.0
8,2025-04-01,46.4,46.5,45.31,45.64,1242443.0
9,2025-03-31,47.2,47.28,45.63,45.95,1342293.0
10,2025-03-28,48.42,49.25,47.39,47.89,1309734.0
11,2025-03-27,47.9,49.0,47.15,48.69,2287992.0
12,2025-03-26,51.76,51.76,49.91,50.0,1199140.0
13,2025-03-25,52.24,52.24,50.98,51.36,664254.0
14,2025-03-24,52.7,52.92,51.52,51.7,728532.0
15,2025-03-21,52.1,52.4,51.28,51.96,1455034.0
16,2025-03-20,54.08,54.26,51.72,52.32,1355577.0
17,2025-03-19,54.02,54.74,53.58,54.16,768677.0
18,2025-03-18,54.4,55.66,54.18,54.22,859007.0
19,2025-03-17,53.66,54.72,53.5,54.08,956116.0
20,2025-03-14,54.04,54.24,53.24,53.5,1171502.0
21,2025-03-13,54.84,55.46,53.56,54.28,741122.0
22,2025-03-12,54.88,55.28,53.4,55.18,2440953.0
23,2025-03-11,58.0,58.76,56.38,56.88,1116734.0
24,2025-03-10,56.2,57.92,55.86,57.88,1405696.0
25,2025-03-07,54.6,55.98,54.26,55.12,815344.0
26,2025-03-06,54.52,55.44,54.14,54.8,1188538.0
27,2025-03-05,55.7,55.98,53.92,53.92,1286723.0
28,2025-03-04,56.3,56.58,53.6,53.74,1565246.0
29,2025-03-03,56.0,58.56,55.7,57.06,1130774.0
30,2025-02-28,56.6,56.8,56.1,56.4,977098.0
31,2025-02-27,57.64,57.92,56.6,56.98,1188770.0
32,2025-02-26,59.46,60.62,58.9,59.12,586813.0
33,2025-02-25,58.74,59.92,58.72,59.32,432148.0
34,2025-02-24,58.8,59.98,58.54,59.32,742115.0
35,2025-02-21,57.3,58.48,57.1,57.72,616182.0
36,2025-02-20,56.66,57.46,56.6,57.16,428933.0
37,2025-02-19,57.9,57.94,56.62,57.28,787342.0
38,2025-02-18,58.1,58.5,57.5,58.26,624305.0
39,2025-02-17,57.06,57.92,56.9,57.84,486824.0
40,2025-02-14,57.64,58.04,56.82,56.94,844053.0
41,2025-02-13,55.0,57.76,55.0,57.54,2068530.0
42,2025-02-12,55.72,55.98,54.98,55.06,1376055.0
43,2025-02-11,56.04,56.28,55.36,55.64,1079180.0
44,2025-02-10,55.8,56.64,55.6,56.56,1206799.0
45,2025-02-07,56.92,58.14,55.08,55.56,3591480.0
46,2025-02-06,59.34,59.96,58.72,59.84,605113.0
47,2025-02-05,59.62,59.96,58.12,59.3,643760.0
48,2025-02-04,59.34,60.34,58.92,60.0,555589.0
49,2025-02-03,59.1,59.9,58.2,59.48,958196.0
50,2025-01-31,62.2,62.62,61.64,61.64,426756.0
51,2025-01-30,61.44,62.18,61.0,62.06,430140.0
52,2025-01-29,61.94,62.06,61.02,61.4,380073.0
53,2025-01-28,62.72,63.32,61.62,61.72,422023.0
54,2025-01-27,62.06,63.26,61.72,62.8,519800.0
55,2025-01-24,60.68,62.46,60.54,61.62,843638.0
56,2025-01-23,59.7,60.0,59.06,60.0,530416.0
57,2025-01-22,59.24,60.18,58.88,59.84,1038351.0
58,2025-01-21,61.5,61.7,60.44,61.28,607884.0
59,2025-01-20,61.2,62.9,60.16,61.7,722977.0
60,2025-01-17,61.4,62.1,61.0,61.0,528794.0
61,2025-01-16,61.58,62.26,60.96,60.96,431694.0
62,2025-01-15,60.22,61.28,59.3,61.12,582527.0
63,2025-01-14,60.1,61.26,59.48,59.66,410110.0
64,2025-01-13,59.44,61.12,59.44,59.72,692029.0
65,2025-01-10,59.3,60.06,57.68,58.88,677385.0
66,2025-01-09,59.44,59.82,59.02,59.56,281177.0
67,2025-01-08,60.52,61.48,59.4,59.88,615923.0
68,2025-01-07,59.56,61.28,59.2,60.88,474800.0
69,2025-01-06,58.0,62.14,57.78,59.68,1301676.0
70,2025-01-03,58.28,58.8,57.18,57.3,349476.0
71,2025-01-02,58.2,58.54,57.18,58.22,458181.0
72,2024-12-30,57.92,58.42,57.62,58.42,223527.0
73,2024-12-27,57.8,58.48,57.62,58.2,399337.0
74,2024-12-23,58.56,58.66,57.16,58.0,370332.0
75,2024-12-20,58.3,58.64,57.9,58.62,716822.0
76,2024-12-19,58.2,60.28,58.06,58.78,564216.0
77,2024-12-18,59.86,60.0,58.9,59.04,540816.0
78,2024-12-17,58.6,59.7,58.5,59.48,574368.0
79,2024-12-16,59.9,60.24,58.16,59.24,694825.0
80,2024-12-13,60.84,61.6,60.5,60.7,430141.0
81,2024-12-12,60.84,61.28,59.94,60.9,456156.0
82,2024-12-11,61.4,61.6,60.84,60.84,426858.0
83,2024-12-10,60.76,61.9,60.54,61.3,459987.0
84,2024-12-09,60.44,61.44,59.76,61.1,649219.0
85,2024-12-06,58.9,60.4,58.74,59.38,632372.0
86,2024-12-05,58.94,59.16,58.1,59.0,615534.0
87,2024-12-04,58.82,59.82,58.72,58.9,416289.0
88,2024-12-03,59.3,59.88,58.5,58.84,471562.0
89,2024-12-02,58.8,59.84,58.34,59.2,387006.0
90,2024-11-29,58.76,59.3,58.36,59.08,447688.0
91,2024-11-28,59.24,60.5,58.72,58.94,349130.0
92,2024-11-27,58.66,59.04,57.8,58.88,397605.0
93,2024-11-26,58.66,59.24,57.46,58.84,679454.0
94,2024-11-25,58.5,59.54,58.28,59.28,1447091.0
95,2024-11-22,57.42,57.72,55.96,57.68,861902.0
96,2024-11-21,58.02,58.1,55.58,57.22,1844125.0
97,2024-11-20,61.14,61.24,58.34,58.34,1856080.0
98,2024-11-19,62.14,62.44,60.48,61.1,795858.0
99,2024-11-18,63.28,63.9,62.4,62.4,462756.0
