,time,open,high,low,close,volume
0,2025-04-11,167.44,170.0,165.86,169.42,486935.0
1,2025-04-10,169.45,169.68,163.71,167.22,736138.0
2,2025-04-09,160.91,174.48,160.0,174.14,1149147.0
3,2025-04-08,167.27,167.855,157.61,159.32,624540.0
4,2025-04-07,155.25,166.11,155.0,160.34,1022774.0
5,2025-04-04,159.99,161.44,156.73,158.63,919788.0
6,2025-04-03,170.49,171.54,167.5,168.07,614145.0
7,2025-04-02,176.11,178.295,175.24,177.31,307923.0
8,2025-04-01,175.8,175.8,173.37,174.42,474743.0
9,2025-03-31,175.75,177.29,174.66,176.53,335931.0
10,2025-03-28,180.19,181.61,177.79,179.07,459563.0
11,2025-03-27,184.5,185.23,182.52,183.98,484989.0
12,2025-03-26,191.7,191.7,189.075,189.28,228506.0
13,2025-03-25,192.78,193.5,191.925,193.01,167515.0
14,2025-03-24,191.4,192.71,191.4,192.47,186585.0
15,2025-03-21,190.0,191.62,189.48,190.7,229174.0
16,2025-03-20,190.41,192.65,190.2,192.17,258851.0
17,2025-03-19,192.48,193.715,191.758,193.14,280826.0
18,2025-03-18,189.9,191.0,188.94,190.2,274848.0
19,2025-03-17,186.54,189.4998,186.44,188.41,306987.0
20,2025-03-14,185.75,186.88,185.34,186.67,274616.0
21,2025-03-13,183.8,184.87,182.28,182.97,363916.0
22,2025-03-12,186.53,186.53,184.53,185.65,255695.0
23,2025-03-11,185.69,186.19,183.0,184.53,294996.0
24,2025-03-10,190.04,190.9,186.76,188.35,346951.0
25,2025-03-07,189.59,190.5,187.44,190.18,280463.0
26,2025-03-06,188.51,189.92,186.95,187.51,467601.0
27,2025-03-05,190.45,192.92,189.59,192.35,634457.0
28,2025-03-04,182.52,183.0,178.3245,180.66,436151.0
29,2025-03-03,188.33,189.11,182.835,183.79,523699.0
30,2025-02-28,179.69,181.53,179.12,181.48,363620.0
31,2025-02-27,185.01,185.7,182.2532,182.28,277326.0
32,2025-02-26,181.69,183.06,181.16,181.21,250383.0
33,2025-02-25,180.7,180.93,178.135,179.46,263343.0
34,2025-02-24,177.57,177.7999,176.0,176.62,237802.0
35,2025-02-21,180.17,180.17,176.94,177.11,639145.0
36,2025-02-20,180.5,180.79,179.3801,180.68,176157.0
37,2025-02-19,181.3,181.31,179.5981,180.1,347921.0
38,2025-02-18,184.47,184.72,183.72,184.07,206935.0
39,2025-02-14,185.0,185.74,183.455,184.24,231510.0
40,2025-02-13,183.85,185.1497,183.4601,184.01,237842.0
41,2025-02-12,181.95,183.52,181.5289,182.69,269081.0
42,2025-02-11,184.18,186.2576,184.18,185.74,237289.0
43,2025-02-10,185.96,186.3699,184.78,185.06,172562.0
44,2025-02-07,187.14,187.7,183.32,183.98,478652.0
45,2025-02-06,191.25,191.6,189.66,190.5,364086.0
46,2025-02-05,194.14,196.62,192.4,195.35,585960.0
47,2025-02-04,186.57,187.56,185.805,187.56,408392.0
48,2025-02-03,182.62,185.86,181.135,183.65,477917.0
