,time,open,high,low,close,volume
0,2025-04-11,86.5,86.5,83.5,85.36,1309181.0
1,2025-04-10,89.92,91.9,85.22,85.22,1991298.0
2,2025-04-09,83.9,86.6,83.16,83.84,2030018.0
3,2025-04-08,87.0,87.74,84.74,85.92,1890603.0
4,2025-04-07,83.1,91.2,81.68,85.48,4298186.0
5,2025-04-04,89.3,89.84,84.48,87.5,2301167.0
6,2025-04-03,91.3,94.0,90.0,90.0,2093269.0
7,2025-04-02,93.44,94.32,92.74,94.16,684253.0
8,2025-04-01,94.94,95.48,93.66,94.56,858075.0
9,2025-03-31,95.94,95.94,92.7,93.56,1780110.0
10,2025-03-28,98.56,100.1,96.62,96.96,1533715.0
11,2025-03-27,97.5,99.9,96.5,99.3,1581338.0
12,2025-03-26,103.35,103.35,100.8,100.8,600192.0
13,2025-03-25,102.45,102.95,101.5,102.4,641737.0
14,2025-03-24,103.05,103.45,101.35,101.4,1034542.0
15,2025-03-21,102.7,103.5,100.05,101.45,3391711.0
16,2025-03-20,107.5,107.9,102.45,102.8,1649514.0
17,2025-03-19,108.9,109.45,106.8,107.25,1336905.0
18,2025-03-18,109.0,110.55,108.65,109.35,976900.0
19,2025-03-17,108.25,110.3,108.05,108.3,1050403.0
20,2025-03-14,107.15,109.9,105.8,107.65,1278874.0
21,2025-03-13,108.55,109.65,105.8,107.7,1106109.0
22,2025-03-12,109.6,110.1,106.85,109.95,1647414.0
23,2025-03-11,110.0,114.2,106.5,108.95,3133086.0
24,2025-03-10,109.9,111.0,107.6,110.15,2003526.0
25,2025-03-07,108.95,109.8,107.45,108.15,1209123.0
26,2025-03-06,107.5,110.05,106.85,109.7,2386775.0
27,2025-03-05,104.4,108.35,103.75,105.55,2881119.0
28,2025-03-04,104.4,104.65,101.0,102.1,1799683.0
29,2025-03-03,103.65,110.0,103.6,106.5,2262374.0
30,2025-02-28,103.05,106.2,103.0,104.1,1647470.0
31,2025-02-27,102.95,105.05,102.45,104.3,1213354.0
32,2025-02-26,105.0,106.3,104.35,105.95,1268395.0
33,2025-02-25,100.75,106.0,100.3,104.95,3519998.0
34,2025-02-24,100.45,101.9,99.46,101.45,1322898.0
35,2025-02-21,97.58,98.92,97.54,98.9,908132.0
36,2025-02-20,96.62,98.54,96.2,97.32,664033.0
37,2025-02-19,100.15,100.35,97.36,97.46,1124343.0
38,2025-02-18,100.75,101.05,99.54,100.3,609131.0
39,2025-02-17,100.35,100.75,99.86,100.4,518441.0
40,2025-02-14,98.76,101.65,98.54,100.2,1338890.0
41,2025-02-13,95.46,100.85,94.76,99.78,2809711.0
42,2025-02-12,93.44,94.6,93.2,93.74,886419.0
43,2025-02-11,94.14,94.32,92.38,93.34,1251586.0
44,2025-02-10,93.52,95.42,93.52,94.32,712715.0
45,2025-02-07,96.06,96.96,93.42,93.72,1473423.0
46,2025-02-06,93.24,96.62,92.74,95.9,1599212.0
47,2025-02-05,94.46,95.02,91.86,93.38,1203209.0
48,2025-02-04,94.54,95.54,93.54,94.66,794061.0
49,2025-02-03,93.36,94.7,91.62,94.6,2702523.0
50,2025-01-31,97.82,98.72,97.48,98.64,905402.0
51,2025-01-30,97.5,98.28,97.06,97.82,690728.0
52,2025-01-29,98.24,98.72,97.24,97.52,642676.0
53,2025-01-28,98.44,98.88,97.1,97.82,929093.0
54,2025-01-27,96.94,99.12,96.66,97.98,1171873.0
55,2025-01-24,96.12,98.3,95.76,96.64,1122433.0
56,2025-01-23,94.94,95.96,94.5,95.4,1446398.0
57,2025-01-22,94.0,94.68,93.24,93.84,762936.0
58,2025-01-21,93.5,94.32,93.38,94.26,712199.0
59,2025-01-20,93.6,95.52,91.94,95.0,1223406.0
60,2025-01-17,93.38,94.04,92.94,93.42,994847.0
61,2025-01-16,94.06,94.6,92.56,92.94,825316.0
62,2025-01-15,92.32,93.58,91.9,93.34,831895.0
63,2025-01-14,91.8,92.68,91.4,91.88,1095161.0
64,2025-01-13,90.54,92.5,90.32,90.9,626813.0
65,2025-01-10,89.54,92.04,88.3,90.36,1126680.0
66,2025-01-09,88.84,89.98,87.94,89.7,650196.0
67,2025-01-08,89.42,90.24,88.36,89.32,920473.0
68,2025-01-07,89.52,90.02,88.86,89.78,680084.0
69,2025-01-06,87.9,91.04,87.7,89.48,1697343.0
70,2025-01-03,86.82,87.42,86.12,86.82,758138.0
71,2025-01-02,89.0,89.16,86.72,87.36,1025665.0
72,2024-12-30,88.14,89.46,87.9,89.04,429889.0
73,2024-12-27,86.66,88.82,86.58,88.66,1013269.0
74,2024-12-23,90.22,90.26,85.74,87.04,1619924.0
75,2024-12-20,86.64,89.6,86.16,88.8,2614169.0
76,2024-12-19,86.62,89.02,86.58,87.32,1188405.0
77,2024-12-18,87.22,87.94,86.84,87.64,1120847.0
78,2024-12-17,85.54,86.82,85.54,86.66,712017.0
79,2024-12-16,87.5,87.98,85.18,86.24,1446973.0
80,2024-12-13,87.0,89.28,86.92,88.02,1478494.0
81,2024-12-12,86.06,86.92,86.02,86.84,727045.0
82,2024-12-11,85.94,86.6,85.4,86.1,835472.0
83,2024-12-10,84.3,86.12,84.06,85.96,1042671.0
84,2024-12-09,84.0,84.84,83.58,84.34,1027050.0
85,2024-12-06,82.1,83.94,81.9,83.14,896870.0
86,2024-12-05,81.3,82.26,80.94,82.18,1039562.0
87,2024-12-04,80.32,82.64,80.3,81.38,1282331.0
88,2024-12-03,80.46,80.98,80.12,80.36,684872.0
89,2024-12-02,79.86,81.78,79.22,80.66,990919.0
90,2024-11-29,80.3,80.72,78.86,80.72,1224857.0
91,2024-11-28,80.52,81.54,80.28,80.62,1041363.0
92,2024-11-27,80.14,80.54,79.86,80.32,714453.0
93,2024-11-26,80.84,80.96,79.82,80.44,1105838.0
94,2024-11-25,82.48,83.34,81.48,82.4,1649273.0
95,2024-11-22,81.22,82.1,79.86,81.8,826288.0
96,2024-11-21,81.72,81.92,80.58,81.24,885744.0
97,2024-11-20,83.08,83.38,81.68,81.76,637033.0
98,2024-11-19,83.82,84.44,81.82,82.98,1000596.0
99,2024-11-18,84.0,84.92,83.12,83.94,505090.0
